(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)
(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)(0.00, 0.00, 0.00)
(-0.50, -0.28, 0.23)(-0.50, -0.25, 0.27)(-0.49, -0.26, 0.24)(-0.46, -0.22, 0.25)(-0.45, -0.20, 0.27)(-0.44, -0.19, 0.28)(-0.49, -0.26, 0.24)(-0.49, -0.21, 0.28)(-0.47, -0.19, 0.31)(-0.45, -0.19, 0.33)(-0.44, -0.19, 0.33)(-0.49, -0.27, 0.25)(-0.50, -0.23, 0.30)(-0.47, -0.21, 0.33)(-0.45, -0.20, 0.34)(-0.43, -0.20, 0.35)(-0.50, -0.28, 0.25)(-0.49, -0.25, 0.31)(-0.47, -0.23, 0.34)(-0.45, -0.23, 0.35)(-0.44, -0.22, 0.35)(-0.50, -0.29, 0.26)(-0.49, -0.27, 0.31)(-0.48, -0.26, 0.33)(-0.46, -0.25, 0.34)(-0.45, -0.25, 0.35)
(-0.41, -0.14, 0.32)(-0.42, -0.12, 0.36)(-0.41, -0.11, 0.32)(-0.41, -0.07, 0.33)(-0.40, -0.05, 0.35)(-0.40, -0.03, 0.36)(-0.41, -0.12, 0.32)(-0.43, -0.07, 0.36)(-0.45, -0.05, 0.39)(-0.45, -0.03, 0.41)(-0.44, -0.03, 0.42)(-0.41, -0.13, 0.33)(-0.43, -0.09, 0.38)(-0.45, -0.07, 0.41)(-0.46, -0.05, 0.43)(-0.45, -0.04, 0.44)(-0.41, -0.14, 0.33)(-0.42, -0.11, 0.39)(-0.45, -0.09, 0.42)(-0.45, -0.07, 0.44)(-0.44, -0.06, 0.45)(-0.41, -0.15, 0.34)(-0.41, -0.13, 0.39)(-0.43, -0.11, 0.42)(-0.43, -0.11, 0.44)(-0.42, -0.10, 0.45)
(-0.41, -0.14, 0.32)(-0.42, -0.12, 0.36)(-0.41, -0.11, 0.32)(-0.41, -0.07, 0.33)(-0.40, -0.05, 0.35)(-0.40, -0.03, 0.36)(-0.41, -0.12, 0.32)(-0.43, -0.07, 0.36)(-0.45, -0.05, 0.39)(-0.45, -0.03, 0.41)(-0.44, -0.03, 0.42)(-0.41, -0.13, 0.33)(-0.43, -0.09, 0.38)(-0.45, -0.07, 0.41)(-0.46, -0.05, 0.43)(-0.45, -0.04, 0.44)(-0.41, -0.14, 0.33)(-0.42, -0.11, 0.39)(-0.45, -0.09, 0.42)(-0.45, -0.07, 0.44)(-0.44, -0.06, 0.45)(-0.41, -0.15, 0.34)(-0.41, -0.13, 0.39)(-0.43, -0.11, 0.42)(-0.43, -0.11, 0.44)(-0.42, -0.10, 0.45)
(-0.33, -0.15, 0.26)(-0.33, -0.14, 0.31)(-0.33, -0.13, 0.27)(-0.33, -0.09, 0.28)(-0.32, -0.06, 0.30)(-0.32, -0.05, 0.32)(-0.33, -0.14, 0.27)(-0.33, -0.10, 0.32)(-0.35, -0.08, 0.36)(-0.35, -0.07, 0.39)(-0.35, -0.07, 0.40)(-0.33, -0.15, 0.28)(-0.34, -0.12, 0.33)(-0.36, -0.11, 0.38)(-0.37, -0.10, 0.40)(-0.36, -0.09, 0.42)(-0.33, -0.16, 0.28)(-0.33, -0.14, 0.34)(-0.35, -0.13, 0.38)(-0.35, -0.12, 0.40)(-0.36, -0.12, 0.42)(-0.33, -0.16, 0.28)(-0.32, -0.16, 0.34)(-0.33, -0.16, 0.37)(-0.33, -0.16, 0.39)(-0.33, -0.15, 0.40)
(-0.29, -0.15, 0.20)(-0.28, -0.14, 0.24)(-0.28, -0.13, 0.20)(-0.27, -0.08, 0.21)(-0.26, -0.06, 0.23)(-0.26, -0.04, 0.24)(-0.28, -0.13, 0.21)(-0.27, -0.09, 0.26)(-0.27, -0.07, 0.30)(-0.27, -0.06, 0.32)(-0.27, -0.06, 0.33)(-0.28, -0.14, 0.21)(-0.27, -0.11, 0.27)(-0.27, -0.09, 0.32)(-0.27, -0.08, 0.34)(-0.27, -0.08, 0.35)(-0.28, -0.15, 0.22)(-0.26, -0.13, 0.28)(-0.27, -0.12, 0.31)(-0.27, -0.11, 0.34)(-0.27, -0.10, 0.35)(-0.28, -0.16, 0.22)(-0.26, -0.15, 0.27)(-0.26, -0.15, 0.30)(-0.26, -0.15, 0.32)(-0.25, -0.14, 0.34)
(-0.28, -0.14, 0.18)(-0.24, -0.13, 0.20)(-0.27, -0.12, 0.17)(-0.25, -0.08, 0.18)(-0.23, -0.06, 0.19)(-0.22, -0.05, 0.20)(-0.27, -0.13, 0.18)(-0.23, -0.09, 0.22)(-0.21, -0.08, 0.25)(-0.19, -0.07, 0.27)(-0.18, -0.06, 0.28)(-0.27, -0.14, 0.18)(-0.23, -0.11, 0.23)(-0.20, -0.10, 0.27)(-0.19, -0.09, 0.29)(-0.17, -0.09, 0.30)(-0.26, -0.15, 0.19)(-0.22, -0.13, 0.23)(-0.20, -0.12, 0.26)(-0.18, -0.12, 0.28)(-0.17, -0.11, 0.29)(-0.26, -0.16, 0.18)(-0.22, -0.15, 0.22)(-0.20, -0.15, 0.25)(-0.19, -0.15, 0.27)(-0.18, -0.15, 0.28)
(-0.33, -0.14, 0.22)(-0.28, -0.14, 0.22)(-0.32, -0.12, 0.21)(-0.29, -0.09, 0.20)(-0.26, -0.08, 0.19)(-0.25, -0.07, 0.18)(-0.31, -0.13, 0.21)(-0.26, -0.11, 0.21)(-0.21, -0.10, 0.21)(-0.19, -0.10, 0.20)(-0.18, -0.10, 0.19)(-0.31, -0.14, 0.21)(-0.25, -0.13, 0.22)(-0.21, -0.13, 0.21)(-0.18, -0.13, 0.19)(-0.17, -0.13, 0.18)(-0.31, -0.15, 0.22)(-0.25, -0.15, 0.22)(-0.21, -0.15, 0.21)(-0.19, -0.15, 0.20)(-0.18, -0.15, 0.19)(-0.31, -0.16, 0.22)(-0.26, -0.17, 0.22)(-0.23, -0.17, 0.22)(-0.21, -0.17, 0.22)(-0.20, -0.17, 0.21)
(-0.39, -0.13, 0.28)(-0.34, -0.14, 0.27)(-0.38, -0.11, 0.26)(-0.35, -0.09, 0.24)(-0.32, -0.08, 0.22)(-0.31, -0.07, 0.21)(-0.37, -0.12, 0.27)(-0.31, -0.11, 0.26)(-0.28, -0.11, 0.24)(-0.26, -0.11, 0.22)(-0.25, -0.12, 0.21)(-0.37, -0.13, 0.27)(-0.31, -0.13, 0.27)(-0.28, -0.14, 0.24)(-0.26, -0.14, 0.21)(-0.26, -0.14, 0.20)(-0.37, -0.14, 0.27)(-0.32, -0.15, 0.27)(-0.28, -0.16, 0.24)(-0.27, -0.16, 0.22)(-0.27, -0.16, 0.21)(-0.38, -0.15, 0.27)(-0.32, -0.17, 0.27)(-0.30, -0.17, 0.26)(-0.29, -0.18, 0.25)(-0.28, -0.18, 0.23)
(-0.44, -0.12, 0.31)(-0.40, -0.11, 0.34)(-0.43, -0.10, 0.31)(-0.40, -0.06, 0.31)(-0.38, -0.04, 0.31)(-0.36, -0.03, 0.31)(-0.43, -0.11, 0.32)(-0.39, -0.07, 0.35)(-0.35, -0.05, 0.36)(-0.33, -0.05, 0.35)(-0.32, -0.05, 0.34)(-0.42, -0.11, 0.32)(-0.39, -0.09, 0.36)(-0.34, -0.07, 0.36)(-0.32, -0.07, 0.35)(-0.30, -0.07, 0.34)(-0.42, -0.12, 0.32)(-0.38, -0.11, 0.36)(-0.34, -0.09, 0.37)(-0.32, -0.09, 0.36)(-0.31, -0.09, 0.35)(-0.42, -0.13, 0.32)(-0.38, -0.13, 0.36)(-0.35, -0.12, 0.37)(-0.33, -0.12, 0.37)(-0.32, -0.11, 0.37)
(-0.43, -0.13, 0.32)(-0.45, -0.11, 0.36)(-0.43, -0.10, 0.33)(-0.44, -0.06, 0.35)(-0.45, -0.04, 0.37)(-0.45, -0.03, 0.38)(-0.43, -0.11, 0.33)(-0.47, -0.08, 0.38)(-0.48, -0.06, 0.41)(-0.48, -0.05, 0.43)(-0.47, -0.04, 0.44)(-0.43, -0.12, 0.34)(-0.47, -0.10, 0.39)(-0.49, -0.08, 0.43)(-0.48, -0.06, 0.45)(-0.47, -0.05, 0.46)(-0.43, -0.13, 0.34)(-0.46, -0.11, 0.40)(-0.47, -0.10, 0.43)(-0.47, -0.08, 0.45)(-0.46, -0.07, 0.46)(-0.43, -0.14, 0.34)(-0.44, -0.13, 0.40)(-0.45, -0.12, 0.43)(-0.44, -0.11, 0.44)(-0.43, -0.10, 0.45)
(-0.43, -0.13, 0.32)(-0.45, -0.11, 0.36)(-0.43, -0.10, 0.33)(-0.44, -0.06, 0.35)(-0.45, -0.04, 0.37)(-0.45, -0.03, 0.38)(-0.43, -0.11, 0.33)(-0.47, -0.08, 0.38)(-0.48, -0.06, 0.41)(-0.48, -0.05, 0.43)(-0.47, -0.04, 0.44)(-0.43, -0.12, 0.34)(-0.47, -0.10, 0.39)(-0.49, -0.08, 0.43)(-0.48, -0.06, 0.45)(-0.47, -0.05, 0.46)(-0.43, -0.13, 0.34)(-0.46, -0.11, 0.40)(-0.47, -0.10, 0.43)(-0.47, -0.08, 0.45)(-0.46, -0.07, 0.46)(-0.43, -0.14, 0.34)(-0.44, -0.13, 0.40)(-0.45, -0.12, 0.43)(-0.44, -0.11, 0.44)(-0.43, -0.10, 0.45)
(-0.33, -0.15, 0.26)(-0.34, -0.14, 0.30)(-0.33, -0.13, 0.27)(-0.33, -0.08, 0.28)(-0.34, -0.06, 0.30)(-0.34, -0.04, 0.31)(-0.33, -0.14, 0.27)(-0.35, -0.10, 0.32)(-0.37, -0.08, 0.35)(-0.38, -0.07, 0.37)(-0.38, -0.06, 0.39)(-0.33, -0.14, 0.27)(-0.35, -0.12, 0.33)(-0.38, -0.10, 0.37)(-0.39, -0.10, 0.39)(-0.40, -0.09, 0.40)(-0.33, -0.15, 0.28)(-0.34, -0.14, 0.34)(-0.37, -0.13, 0.37)(-0.38, -0.12, 0.39)(-0.38, -0.12, 0.41)(-0.32, -0.16, 0.28)(-0.33, -0.16, 0.34)(-0.35, -0.15, 0.36)(-0.35, -0.15, 0.38)(-0.35, -0.15, 0.40)
(-0.33, -0.15, 0.26)(-0.34, -0.14, 0.30)(-0.33, -0.13, 0.27)(-0.33, -0.08, 0.28)(-0.34, -0.06, 0.30)(-0.34, -0.04, 0.31)(-0.33, -0.14, 0.27)(-0.35, -0.10, 0.32)(-0.37, -0.08, 0.35)(-0.38, -0.07, 0.37)(-0.38, -0.06, 0.39)(-0.33, -0.14, 0.27)(-0.35, -0.12, 0.33)(-0.38, -0.10, 0.37)(-0.39, -0.10, 0.39)(-0.40, -0.09, 0.40)(-0.33, -0.15, 0.28)(-0.34, -0.14, 0.34)(-0.37, -0.13, 0.37)(-0.38, -0.12, 0.39)(-0.38, -0.12, 0.41)(-0.32, -0.16, 0.28)(-0.33, -0.16, 0.34)(-0.35, -0.15, 0.36)(-0.35, -0.15, 0.38)(-0.35, -0.15, 0.40)
(-0.28, -0.16, 0.18)(-0.26, -0.15, 0.22)(-0.27, -0.14, 0.18)(-0.26, -0.10, 0.20)(-0.24, -0.07, 0.21)(-0.24, -0.05, 0.21)(-0.27, -0.15, 0.19)(-0.25, -0.11, 0.24)(-0.24, -0.10, 0.28)(-0.24, -0.09, 0.30)(-0.24, -0.08, 0.32)(-0.27, -0.16, 0.19)(-0.25, -0.13, 0.25)(-0.25, -0.12, 0.30)(-0.26, -0.11, 0.32)(-0.26, -0.10, 0.34)(-0.27, -0.17, 0.20)(-0.25, -0.15, 0.26)(-0.25, -0.14, 0.30)(-0.25, -0.13, 0.32)(-0.26, -0.13, 0.33)(-0.27, -0.18, 0.20)(-0.25, -0.17, 0.25)(-0.25, -0.17, 0.28)(-0.25, -0.17, 0.30)(-0.25, -0.16, 0.32)
(-0.34, -0.15, 0.18)(-0.30, -0.14, 0.20)(-0.32, -0.12, 0.17)(-0.30, -0.08, 0.17)(-0.28, -0.06, 0.18)(-0.27, -0.04, 0.18)(-0.32, -0.13, 0.18)(-0.27, -0.10, 0.21)(-0.24, -0.08, 0.24)(-0.22, -0.08, 0.25)(-0.21, -0.07, 0.26)(-0.32, -0.14, 0.18)(-0.27, -0.12, 0.22)(-0.23, -0.11, 0.25)(-0.21, -0.10, 0.26)(-0.20, -0.10, 0.26)(-0.32, -0.15, 0.18)(-0.27, -0.14, 0.22)(-0.24, -0.13, 0.25)(-0.22, -0.13, 0.26)(-0.20, -0.13, 0.26)(-0.32, -0.16, 0.18)(-0.27, -0.16, 0.22)(-0.25, -0.16, 0.24)(-0.23, -0.16, 0.25)(-0.22, -0.16, 0.25)
(-0.42, -0.13, 0.26)(-0.37, -0.13, 0.27)(-0.40, -0.11, 0.25)(-0.37, -0.09, 0.23)(-0.34, -0.08, 0.22)(-0.32, -0.07, 0.21)(-0.40, -0.12, 0.26)(-0.34, -0.10, 0.26)(-0.30, -0.10, 0.25)(-0.28, -0.11, 0.24)(-0.27, -0.12, 0.23)(-0.40, -0.12, 0.26)(-0.34, -0.12, 0.27)(-0.30, -0.13, 0.25)(-0.28, -0.14, 0.23)(-0.27, -0.15, 0.22)(-0.40, -0.13, 0.27)(-0.34, -0.14, 0.27)(-0.30, -0.15, 0.26)(-0.29, -0.16, 0.24)(-0.28, -0.16, 0.23)(-0.40, -0.14, 0.27)(-0.35, -0.16, 0.27)(-0.32, -0.17, 0.27)(-0.30, -0.17, 0.26)(-0.30, -0.18, 0.25)
(-0.46, -0.11, 0.30)(-0.41, -0.11, 0.32)(-0.44, -0.10, 0.29)(-0.40, -0.07, 0.28)(-0.37, -0.06, 0.28)(-0.35, -0.06, 0.28)(-0.44, -0.10, 0.30)(-0.39, -0.07, 0.32)(-0.35, -0.07, 0.32)(-0.32, -0.07, 0.32)(-0.31, -0.08, 0.31)(-0.44, -0.11, 0.30)(-0.39, -0.09, 0.33)(-0.34, -0.10, 0.33)(-0.32, -0.10, 0.31)(-0.31, -0.10, 0.30)(-0.44, -0.12, 0.31)(-0.39, -0.11, 0.33)(-0.35, -0.12, 0.33)(-0.33, -0.12, 0.32)(-0.31, -0.12, 0.31)(-0.44, -0.13, 0.31)(-0.39, -0.13, 0.33)(-0.36, -0.13, 0.34)(-0.34, -0.14, 0.33)(-0.33, -0.14, 0.33)
(-0.44, -0.13, 0.31)(-0.45, -0.12, 0.35)(-0.44, -0.11, 0.31)(-0.43, -0.07, 0.33)(-0.42, -0.05, 0.36)(-0.42, -0.04, 0.37)(-0.44, -0.12, 0.32)(-0.46, -0.08, 0.37)(-0.44, -0.06, 0.40)(-0.42, -0.05, 0.40)(-0.41, -0.05, 0.40)(-0.44, -0.12, 0.32)(-0.45, -0.10, 0.37)(-0.43, -0.07, 0.41)(-0.41, -0.06, 0.41)(-0.39, -0.06, 0.41)(-0.44, -0.13, 0.32)(-0.44, -0.11, 0.38)(-0.43, -0.09, 0.41)(-0.41, -0.08, 0.41)(-0.39, -0.07, 0.41)(-0.43, -0.14, 0.33)(-0.43, -0.13, 0.38)(-0.42, -0.11, 0.41)(-0.41, -0.10, 0.41)(-0.40, -0.10, 0.41)
(-0.44, -0.13, 0.31)(-0.45, -0.12, 0.35)(-0.44, -0.11, 0.31)(-0.43, -0.07, 0.33)(-0.42, -0.05, 0.36)(-0.42, -0.04, 0.37)(-0.44, -0.12, 0.32)(-0.46, -0.08, 0.37)(-0.44, -0.06, 0.40)(-0.42, -0.05, 0.40)(-0.41, -0.05, 0.40)(-0.44, -0.12, 0.32)(-0.45, -0.10, 0.37)(-0.43, -0.07, 0.41)(-0.41, -0.06, 0.41)(-0.39, -0.06, 0.41)(-0.44, -0.13, 0.32)(-0.44, -0.11, 0.38)(-0.43, -0.09, 0.41)(-0.41, -0.08, 0.41)(-0.39, -0.07, 0.41)(-0.43, -0.14, 0.33)(-0.43, -0.13, 0.38)(-0.42, -0.11, 0.41)(-0.41, -0.10, 0.41)(-0.40, -0.10, 0.41)
(-0.35, -0.18, 0.25)(-0.36, -0.16, 0.29)(-0.35, -0.15, 0.25)(-0.35, -0.11, 0.27)(-0.35, -0.10, 0.30)(-0.35, -0.09, 0.31)(-0.35, -0.16, 0.26)(-0.37, -0.12, 0.31)(-0.39, -0.11, 0.34)(-0.39, -0.10, 0.37)(-0.39, -0.09, 0.38)(-0.35, -0.17, 0.26)(-0.37, -0.14, 0.32)(-0.39, -0.13, 0.36)(-0.40, -0.12, 0.38)(-0.39, -0.11, 0.40)(-0.35, -0.18, 0.27)(-0.36, -0.16, 0.33)(-0.38, -0.15, 0.36)(-0.38, -0.14, 0.38)(-0.38, -0.13, 0.40)(-0.35, -0.19, 0.27)(-0.35, -0.18, 0.33)(-0.36, -0.17, 0.35)(-0.36, -0.17, 0.37)(-0.35, -0.16, 0.39)
(-0.31, -0.18, 0.20)(-0.30, -0.17, 0.24)(-0.30, -0.16, 0.20)(-0.29, -0.12, 0.22)(-0.28, -0.11, 0.25)(-0.27, -0.10, 0.26)(-0.30, -0.17, 0.21)(-0.29, -0.13, 0.26)(-0.30, -0.11, 0.30)(-0.30, -0.10, 0.32)(-0.29, -0.10, 0.34)(-0.30, -0.18, 0.21)(-0.30, -0.15, 0.27)(-0.30, -0.13, 0.31)(-0.29, -0.12, 0.34)(-0.29, -0.12, 0.35)(-0.30, -0.19, 0.21)(-0.29, -0.17, 0.27)(-0.29, -0.15, 0.31)(-0.29, -0.14, 0.33)(-0.28, -0.14, 0.35)(-0.30, -0.19, 0.22)(-0.28, -0.19, 0.27)(-0.28, -0.18, 0.30)(-0.28, -0.18, 0.32)(-0.27, -0.17, 0.33)
